Ling Network 5ghz             	13	11	-69	DA:A1:19:F2:07:06
Camp.JSX                      	13	0	-69	9A:11:DC:F2:80:43
Camp.JSX                      	13	0	-65	22:BB:81:70:DF:79
DeveloperSteve_Portable       	13	0	-59	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-59	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-57	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-56	48:4B:AA:B7:B0:5F
NETGEAR33                     	13	0	-67	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-60	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-61	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-60	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-62	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-62	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-64	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-62	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-63	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-63	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-63	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-63	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-63	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-63	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-63	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-63	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-63	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-62	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-59	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-59	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-58	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-60	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-59	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-59	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-59	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-59	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-58	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-59	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-59	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-58	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-59	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-58	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-59	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-57	CA:8C:10:54:8F:7A
Ling Network 5ghz             	13	11	-63	DA:A1:19:EC:9C:E4
airnzwifi                     	13	0	-66	3A:15:12:23:0E:03
David's Wifi                  	13	0	-52	02:E5:4F:F0:F1:59
David's Wifi                  	13	0	-52	02:E5:4F:F0:F1:59
David's Wifi                  	13	0	-53	02:E5:4F:F0:F1:59
Ling Network 5ghz             	13	11	-60	DA:A1:19:15:35:76
airnzwifi                     	13	0	-64	1A:2E:DE:C8:DD:CD
airnzwifi                     	13	0	-64	1A:2E:DE:C8:DD:CD
airnzwifi                     	13	0	-57	1A:2E:DE:C8:DD:CD
airnzwifi                     	13	0	-58	1A:2E:DE:C8:DD:CD
airnzwifi                     	13	0	-58	1A:2E:DE:C8:DD:CD
Ling Network 5ghz             	13	0	-68	DA:A1:19:0F:8A:71
Ling Network 5ghz             	13	0	-67	DA:A1:19:CB:2D:AC
Ling Network 5ghz             	13	11	-64	DA:A1:19:CB:2D:AC
DeveloperSteve_Portable       	13	0	-59	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-59	48:4B:AA:B7:B0:5F
airnzwifi                     	13	0	-62	FA:DD:59:F9:DD:8A
airnzwifi                     	13	0	-60	FA:DD:59:F9:DD:8A
airnzwifi                     	13	0	-61	FA:DD:59:F9:DD:8A
Ling Network 5ghz             	13	11	-65	DA:A1:19:69:ED:4C
Free_Telstra_WiFi             	13	0	-50	5A:4D:B5:FE:C8:26
PeterMac_Staff                	13	0	-50	5A:4D:B5:FE:C8:26
Free_Telstra_WiFi             	13	0	-51	5A:4D:B5:FE:C8:26
Free_Telstra_WiFi             	13	0	-44	5A:4D:B5:FE:C8:26
PeterMac_Staff                	13	0	-45	5A:4D:B5:FE:C8:26
Free_Telstra_WiFi             	13	0	-49	5A:4D:B5:FE:C8:26
PeterMac_Staff                	13	0	-44	5A:4D:B5:FE:C8:26
iPhone                        	13	0	-66	7C:03:AB:2B:F0:5E
Ling Network 5ghz             	13	0	-64	DA:A1:19:AA:62:85
Camp.JSX                      	13	0	-64	CA:8C:10:54:8F:7A
